Date,Trial,Matrix,Tank,Treatment,Dose,Media,Rep,CFU
19-Jan-22,Farm_TCBS,Water,1,Bio_TCSB,1,TCBS,A,600
19-Jan-22,Farm_TCBS,Water,2,Cont_TCSB,1,TCBS,A,1100
19-Jan-22,Farm_TCBS,Water,3,Bio_TCSB,1,TCBS,A,700
19-Jan-22,Farm_TCBS,Water,4,Cont_TCSB,1,TCBS,A,700
02-Feb-22,Farm_TCBS,Water,1,Bio_TCSB,2,TCBS,A,3200
02-Feb-22,Farm_TCBS,Water,2,Cont_TCSB,2,TCBS,A,840
02-Feb-22,Farm_TCBS,Water,3,Bio_TCSB,2,TCBS,A,800
02-Feb-22,Farm_TCBS,Water,4,Cont_TCSB,2,TCBS,A,3400
16-Feb-22,Farm_TCBS,Water,1,Bio_TCSB,3,TCBS,A,10
16-Feb-22,Farm_TCBS,Water,2,Cont_TCSB,3,TCBS,A,100
16-Feb-22,Farm_TCBS,Water,3,Bio_TCSB,3,TCBS,A,10
16-Feb-22,Farm_TCBS,Water,4,Cont_TCSB,3,TCBS,A,1300
19-Jan-22,Farm_MSSM,Water,1,Bio_MSSM,1,MSSM,A,100
19-Jan-22,Farm_MSSM,Water,2,Cont_MSSM,1,MSSM,A,5000
19-Jan-22,Farm_MSSM,Water,3,Bio_MSSM,1,MSSM,A,2100
19-Jan-22,Farm_MSSM,Water,4,Cont_MSSM,1,MSSM,A,1000
02-Feb-22,Farm_MSSM,Water,1,Bio_MSSM,2,MSSM,A,4200
02-Feb-22,Farm_MSSM,Water,2,Cont_MSSM,2,MSSM,A,420
02-Feb-22,Farm_MSSM,Water,3,Bio_MSSM,2,MSSM,A,200
02-Feb-22,Farm_MSSM,Water,4,Cont_MSSM,2,MSSM,A,330
16-Feb-22,Farm_MSSM,Water,1,Bio_MSSM,3,MSSM,A,1800
16-Feb-22,Farm_MSSM,Water,2,Cont_MSSM,3,MSSM,A,2920
16-Feb-22,Farm_MSSM,Water,3,Bio_MSSM,3,MSSM,A,1900
16-Feb-22,Farm_MSSM,Water,4,Cont_MSSM,3,MSSM,A,1700
