FishID,Tank,Treatment,time,status
P7-9,7,Biofouling,18,1
P7-10,7,Biofouling,20,1
P8-5,8,Biofouling,10,1
P8-6,8,Biofouling,18,1
P8-7,8,Biofouling,22,1
P8-8,8,Biofouling,23,1
P8-9,8,Biofouling,24,1
P8-10,8,Biofouling,27,1
P1-1,1,Control,27,0
P1-2,1,Control,27,0
P1-3,1,Control,27,0
P1-4,1,Control,27,0
P1-5,1,Control,27,0
P1-6,1,Control,27,0
P1-7,1,Control,27,0
P1-8,1,Control,27,0
P1-9,1,Control,27,0
P1-10,1,Control,27,0
P2-1,2,Control,27,0
P2-2,2,Control,27,0
P2-3,2,Control,27,0
P2-4,2,Control,27,0
P2-5,2,Control,27,0
P2-6,2,Control,27,0
P2-7,2,Control,27,0
P2-8,2,Control,27,0
P2-9,2,Control,27,0
P2-10,2,Control,27,0
P3-1,3,Control,28,0
P3-2,3,Control,28,0
P3-3,3,Control,28,0
P3-4,3,Control,28,0
P3-5,3,Control,28,0
P3-6,3,Control,28,0
P3-7,3,Control,28,0
P3-8,3,Control,28,0
P3-9,3,Control,28,0
P3-10,3,Control,28,0
P4-1,4,Control,28,0
P4-2,4,Control,28,0
P4-3,4,Control,28,0
P4-4,4,Control,28,0
P4-5,4,Control,28,0
P4-6,4,Control,28,0
P4-7,4,Control,28,0
P4-8,4,Control,28,0
P4-9,4,Control,28,0
P4-10,4,Control,28,0
P5-1,5,Biofouling,27,0
P5-2,5,Biofouling,27,0
P5-3,5,Biofouling,27,0
P5-4,5,Biofouling,27,0
P5-5,5,Biofouling,27,0
P5-6,5,Biofouling,27,0
P5-7,5,Biofouling,27,0
P5-8,5,Biofouling,27,0
P5-9,5,Biofouling,27,0
P5-10,5,Biofouling,27,0
P6-1,6,Biofouling,27,0
P6-2,6,Biofouling,27,0
P6-3,6,Biofouling,27,0
P6-4,6,Biofouling,27,0
P6-5,6,Biofouling,27,0
P6-6,6,Biofouling,27,0
P6-7,6,Biofouling,27,0
P6-8,6,Biofouling,27,0
P6-9,6,Biofouling,27,0
P6-10,6,Biofouling,27,0
P7-1,7,Biofouling,28,0
P7-2,7,Biofouling,28,0
P7-3,7,Biofouling,28,0
P7-4,7,Biofouling,28,0
P7-5,7,Biofouling,28,0
P7-6,7,Biofouling,28,0
P7-7,7,Biofouling,28,0
P7-8,7,Biofouling,28,0
P8-1,8,Biofouling,27,0
P8-2,8,Biofouling,27,0
P8-3,8,Biofouling,27,0
P8-4,8,Biofouling,27,0
