FishID,Tank,Treatment,time,status
155-1-28,1,Biofouling,2,1
155-4-25,4,Control,3,1
155-2-28,2,Control,4,1
155-2-29,2,Control,6,1
155-1-29,1,Biofouling,6,1
155-3-29,3,Biofouling,26,1
155-1-30,1,Biofouling,34,1
155-2-30,2,Control,39,1
155-4-26,4,Control,40,1
155-1-1,1,Biofouling,40,0
155-1-2,1,Biofouling,40,0
155-1-3,1,Biofouling,40,0
155-1-4,1,Biofouling,40,0
155-1-5,1,Biofouling,40,0
155-1-6,1,Biofouling,40,0
155-1-7,1,Biofouling,40,0
155-1-8,1,Biofouling,40,0
155-1-9,1,Biofouling,40,0
155-1-10,1,Biofouling,40,0
155-1-11,1,Biofouling,40,0
155-1-12,1,Biofouling,40,0
155-1-13,1,Biofouling,40,0
155-1-14,1,Biofouling,40,0
155-1-15,1,Biofouling,40,0
155-1-16,1,Biofouling,40,0
155-1-17,1,Biofouling,40,0
155-1-18,1,Biofouling,40,0
155-1-19,1,Biofouling,40,0
155-1-20,1,Biofouling,40,0
155-1-21,1,Biofouling,40,0
155-1-22,1,Biofouling,40,0
155-1-23,1,Biofouling,40,0
155-1-24,1,Biofouling,40,0
155-1-25,1,Biofouling,40,0
155-1-26,1,Biofouling,40,0
155-1-27,1,Biofouling,40,0
155-2-1,2,Control,40,0
155-2-2,2,Control,40,0
155-2-3,2,Control,40,0
155-2-4,2,Control,40,0
155-2-5,2,Control,40,0
155-2-6,2,Control,40,0
155-2-7,2,Control,40,0
155-2-8,2,Control,40,0
155-2-9,2,Control,40,0
155-2-10,2,Control,40,0
155-2-11,2,Control,40,0
155-2-12,2,Control,40,0
155-2-13,2,Control,40,0
155-2-14,2,Control,40,0
155-2-15,2,Control,40,0
155-2-16,2,Control,40,0
155-2-17,2,Control,40,0
155-2-18,2,Control,40,0
155-2-19,2,Control,40,0
155-2-20,2,Control,40,0
155-2-21,2,Control,40,0
155-2-22,2,Control,40,0
155-2-23,2,Control,40,0
155-2-24,2,Control,40,0
155-2-25,2,Control,40,0
155-2-26,2,Control,40,0
155-2-27,2,Control,40,0
155-3-1,3,Biofouling,40,0
155-3-2,3,Biofouling,40,0
155-3-3,3,Biofouling,40,0
155-3-4,3,Biofouling,40,0
155-3-5,3,Biofouling,40,0
155-3-6,3,Biofouling,40,0
155-3-7,3,Biofouling,40,0
155-3-8,3,Biofouling,40,0
155-3-9,3,Biofouling,40,0
155-3-10,3,Biofouling,40,0
155-3-11,3,Biofouling,40,0
155-3-12,3,Biofouling,40,0
155-3-13,3,Biofouling,40,0
155-3-14,3,Biofouling,40,0
155-3-15,3,Biofouling,40,0
155-3-16,3,Biofouling,40,0
155-3-17,3,Biofouling,40,0
155-3-18,3,Biofouling,40,0
155-3-19,3,Biofouling,40,0
155-3-20,3,Biofouling,40,0
155-3-21,3,Biofouling,40,0
155-3-22,3,Biofouling,40,0
155-3-23,3,Biofouling,40,0
155-3-24,3,Biofouling,40,0
155-3-25,3,Biofouling,40,0
155-3-26,3,Biofouling,40,0
155-3-27,3,Biofouling,40,0
155-3-28,3,Biofouling,40,0
155-4-1,4,Control,40,0
155-4-2,4,Control,40,0
155-4-3,4,Control,40,0
155-4-4,4,Control,40,0
155-4-5,4,Control,40,0
155-4-6,4,Control,40,0
155-4-7,4,Control,40,0
155-4-8,4,Control,40,0
155-4-9,4,Control,40,0
155-4-10,4,Control,40,0
155-4-11,4,Control,40,0
155-4-12,4,Control,40,0
155-4-13,4,Control,40,0
155-4-14,4,Control,40,0
155-4-15,4,Control,40,0
155-4-16,4,Control,40,0
155-4-17,4,Control,40,0
155-4-18,4,Control,40,0
155-4-19,4,Control,40,0
155-4-20,4,Control,40,0
155-4-21,4,Control,40,0
155-4-22,4,Control,40,0
155-4-23,4,Control,40,0
155-4-24,4,Control,40,0
