Trial,Dose,name,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
Laboratory,1,Tenacibaculum spp.,value,12,1150000,2230000,1600000,1327500,1882500,555000,437367,1609166.667,360541.47,104079.357,229077.121
On-farm,1,Tenacibaculum spp.,value,3,40400,46000,45600,43000,45800,2800,593.04,44000,3124.1,1803.7,7760.694
Laboratory,1,Vibrio spp.,value,12,320000,1680000,605000,507500,745000,237500,163086,723333.333,397293.876,114688.863,252428.486
On-farm,1,Vibrio spp.,value,3,2600,7700,7200,4900,7450,2550,741.3,5833.333,2811.287,1623.097,6983.623
Laboratory,2,Tenacibaculum spp.,value,8,310000,1390000,590000,470000,755000,285000,237216,667500,336101.6,118829.86,280987.97
On-farm,2,Tenacibaculum spp.,value,3,130000,290000,230000,180000,260000,80000,88956,216666.667,80829.038,46666.667,200790.461
Laboratory,2,Vibrio spp.,value,8,90000,1880000,245000,167500,1690000,1522500,200151,771250,822581.954,290826.639,687695.723
On-farm,2,Vibrio spp.,value,3,260,410,340,300,375,75,103.782,336.667,75.056,43.333,186.448
Laboratory,3,Tenacibaculum spp.,value,12,188000,1720000,785000,612500,982500,370000,281694,828166.667,384556.848,111012,244335.765
On-farm,3,Tenacibaculum spp.,value,3,640000,1130000,970000,805000,1050000,245000,237216,913333.333,249866.631,144260.567,620703.121
Laboratory,3,Vibrio spp.,value,12,194000,2100000,1610000,1180000,1775000,595000,415128,1360333.333,624066.916,180152.601,396513.201
On-farm,3,Vibrio spp.,value,3,1010,300000,230000,115505,265000,149495,103782,177003.333,156381.713,90287.024,388473.71
